id,name,is_obsolete,replacement_id
1,All,False,
2,Abnormality of body height,False,
3,Multicystic kidney dysplasia,False,
5,Mode of inheritance,False,
6,Autosomal dominant inheritance,False,
7,Autosomal recessive inheritance,False,
8,Abnormal morphology of female internal genitalia,False,
9,Functional abnormality of the bladder,False,
10,Recurrent urinary tract infections,False,
11,Neurogenic bladder,False,
12,Urinary urgency,False,
13,Hypoplasia of the uterus,False,
14,Abnormality of the bladder,False,
15,Bladder diverticulum,False,
16,Urinary retention,False,
17,Nocturia,False,
19,Urinary hesitancy,False,
20,Urinary incontinence,False,
21,Megacystis,False,
22,Abnormality of male internal genitalia,False,
23,Inguinal hernia,False,
24,Prostatitis,False,
25,Functional abnormality of male internal genitalia,False,
26,Male hypogonadism,False,
27,Azoospermia,False,
28,Cryptorchidism,False,
29,Testicular atrophy,False,
30,Testicular gonadoblastoma,False,
31,Epididymitis,False,
32,Abnormality of male external genitalia,False,
33,"Ambiguous genitalia, male",False,
34,Hydrocele testis,False,
35,Abnormal testis morphology,False,
36,Abnormal penis morphology,False,
37,Male pseudohermaphroditism,False,
39,Epispadias,False,
40,Long penis,False,
41,Chordee,False,
42,Absent external genitalia,False,
44,Hypogonadotropic hypogonadism,False,
45,Abnormality of the scrotum,False,
46,Scrotal hypoplasia,False,
47,Hypospadias,False,
48,Bifid scrotum,False,
49,Shawl scrotum,False,
50,Hypoplastic male external genitalia,False,
51,Perineal hypospadias,False,
52,"Urethral atresia, male",False,
53,Macroorchidism,False,
54,Micropenis,False,
55,Abnormality of female external genitalia,False,
56,Abnormality of the clitoris,False,
57,obsolete Clitoromegaly,True,8665.0
58,Abnormal labia morphology,False,
59,Hypoplastic labia majora,False,
60,Clitoral hypoplasia,False,
61,"Ambiguous genitalia, female",False,
62,Ambiguous genitalia,False,
63,Fused labia minora,False,
64,Hypoplastic labia minora,False,
65,Labial hypertrophy,False,
66,Labial hypoplasia,False,
67,"Urethral atresia, female",False,
68,Urethral atresia,False,
69,Abnormality of the ureter,False,
70,Ureterocele,False,
71,Ureteral stenosis,False,
72,Hydroureter,False,
73,Ureteral duplication,False,
74,Ureteropelvic junction obstruction,False,
75,Renal duplication,False,
76,Vesicoureteral reflux,False,
77,Abnormality of the kidney,False,
78,Abnormality of the genital system,False,
79,Abnormality of the urinary system,False,
80,Abnormality of reproductive system physiology,False,
81,Duplicated collecting system,False,
83,Renal insufficiency,False,
85,Horseshoe kidney,False,
86,Ectopic kidney,False,
89,Renal hypoplasia,False,
90,Nephronophthisis,False,
91,Abnormal renal tubule morphology,False,
92,Renal tubular atrophy,False,
93,Proteinuria,False,
95,Abnormal renal glomerulus morphology,False,
96,Glomerular sclerosis,False,
97,Focal segmental glomerulosclerosis,False,
98,Tall stature,False,
99,Glomerulonephritis,False,
100,Nephrotic syndrome,False,
103,Polyuria,False,
104,Renal agenesis,False,
105,Enlarged kidney,False,
107,Renal cyst,False,
108,Renal corticomedullary cysts,False,
110,Renal dysplasia,False,
111,Renal juxtaglomerular cell hypertrophy/hyperplasia,False,
112,Nephropathy,False,
113,Polycystic kidney dysplasia,False,
114,Proximal tubulopathy,False,
117,Renal phosphate wasting,False,
118,Phenotypic abnormality,False,
119,Abnormality of the genitourinary system,False,
121,Nephrocalcinosis,False,
122,Unilateral renal agenesis,False,
123,Nephritis,False,
124,Renal tubular dysfunction,False,
125,Pelvic kidney,False,
126,Hydronephrosis,False,
127,Renal salt wasting,False,
128,Renal potassium wasting,False,
130,Abnormality of the uterus,False,
131,Uterine leiomyoma,False,
132,Menorrhagia,False,
133,Gonadal dysgenesis,False,
134,Female hypogonadism,False,
135,Hypogonadism,False,
136,Bifid uterus,False,
137,Abnormality of the ovary,False,
138,Ovarian cyst,False,
139,Uterine prolapse,False,
140,Abnormality of the menstrual cycle,False,
141,Amenorrhea,False,
142,Abnormal vagina morphology,False,
143,Rectovaginal fistula,False,
144,Decreased fertility,False,
145,Transverse vaginal septum,False,
147,Polycystic ovaries,False,
148,Vaginal atresia,False,
149,Ovarian gonadoblastoma,False,
150,Gonadoblastoma,False,
151,Aplasia of the uterus,False,
152,Abnormality of head or neck,False,
153,Abnormality of the mouth,False,
154,Wide mouth,False,
155,Oral ulcer,False,
157,Abnormality of the tongue,False,
158,Macroglossia,False,
159,Abnormal lip morphology,False,
160,Narrow mouth,False,
161,Median cleft lip,False,
162,Glossoptosis,False,
163,Abnormal oral cavity morphology,False,
164,Abnormality of the dentition,False,
166,Severe periodontitis,False,
168,Abnormality of the gingiva,False,
169,Gingival fibromatosis,False,
171,Microglossia,False,
